ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Representation,Source_ID
men,Mende,Africa,7.90935,-10.9926,mend1266,men,Mande,142,gaginskymende;gmigeodmende;sinnesmende
sim,Mende (Papua New Guinea),Papunesia,-3.67233,142.683,mend1268,sim,Sepik,150,shoeletalmende
mee,Mengen,Papunesia,-5.47036,151.373,meng1267,mee,Austronesian,159,phonrathmengen
mcr,Menya,Papunesia,-7.17425,146.071,meny1245,mcr,Angan,157,gwhiteheadmenya
mxm,Meramera,Papunesia,-4.97468,151.528,mera1242,mxm,Austronesian,100,gohtsubameramera;phonohtsubamelamela;tohtsubameramera;typohtsubameramera
ulk,Meriam,Papunesia,-9.59575,143.773,meri1244,ulk,Eastern Trans-Fly,155,spipermeryam;spipermeryam2013
mej,Meyah,Papunesia,-1.18016,133.618,meya1236,mej,East Bird's Head,160,ggravellemeyah2004
mpt,Mian,Papunesia,-4.70881,141.523,mian1256,mpt,Nuclear Trans New Guinea,160,
bjo,Mid-Southern Banda,Africa,5.87893,22.4666,mids1243,bjo,Atlantic-Congo,263,ssantandreabandazande
mei,Midob,Africa,14.789,27.2236,mido1240,mei,Nubian,70,gwernermidob;sthelwallmeidob
bfm,Mmen,Africa,6.43213,10.2541,mmen1238,bfm,Atlantic-Congo,12,
mkj,Mokilese,Papunesia,6.65651,159.776,moki1238,mkj,Austronesian,143,
xmz,Mori Bawah,Papunesia,-2.56016,121.37,mori1268,xmz,Austronesian,138,
mor,Moro,Africa,10.9194,30.2138,moro1285,mor,Heiban,133,sblackblackmoro;typgibbardetalmoro
mnb,Muna,Papunesia,-5.40419,122.541,muna1247,mnb,Austronesian,160,gvandenbergmuna
mwf,Murrinh-Patha,Australia,-14.7485,129.702,murr1258,mwf,Southern Daly,153,gwalshmurinypata;sstreetmurrinhpatha
emi,Mussau-Emira,Papunesia,-1.44105,149.624,muss1246,emi,Austronesian,143,gbrowniebrowniemussau;srossmussau
moa,Mwan,Africa,7.87533,-5.94577,mwan1250,moa,Mande,249,gflemingmona;typperekhvalskayamwan;typperekhvalskayamwandeictique;typperekhvalskayamwanverbale
mlv,Mwotlap,Papunesia,-13.6535,167.673,motl1237,mlv,Austronesian,160,scrowleymwotlap
nas,Naasioi,Papunesia,-6.46022,155.632,naas1242,nas,South Bougainville,96,
naf,Nabak,Papunesia,-6.42709,146.966,naba1256,naf,Nuclear Trans New Guinea,141,gfabianfabianwatersnabak
nak,Nakanai,Papunesia,-5.59931,150.888,naka1262,nak,Austronesian,159,gjohnstonnakanai
nal,Nalik,Papunesia,-2.94411,151.332,nali1244,nal,Austronesian,101,
naq,Nama,Africa,-25.0747,17.9767,nama1264,naq,Khoe-Kwadi,169,ghagmannama1977
nnm,Namia,Papunesia,-3.85538,141.788,nami1256,nnm,Sepik,143,gfeldpauschfeldpauschnamia;wfeldpauschnamia
cox,Nanti,South America,-12.1018,-72.3507,nant1250,cox,Arawakan,159,
nay,Narrinyeri,Australia,-36.2301,140.158,narr1259,nay,Pama-Nyungan,125,hvwhorgenlowermurray;phonmcdonaldyaraldi;typcerinyaraldi
ndg,Ndengereko,Africa,-7.54628,38.958,nden1248,ndg,Atlantic-Congo,125,gstromndengeleko
NOCODE_Ngala-Santandrea,Ngala-Santandrea,Africa,6.63187,24.61853,ngal1296,,Atlantic-Congo,260,ssantandreabandazande
nid,Ngandi,Australia,-12.8448,134.649,ngan1295,nid,Gunwinyguan,148,
ung,Ngarinyin,Australia,-16.4006,126.433,ngar1284,ung,Worrorran,158,dcoateelkinngarinjin;gcoateoatesngarinjin;grumseyungarinjin
nbq,Nggem,Papunesia,-3.62735,139.011,ngge1241,nbq,Nuclear Trans New Guinea,160,getheringtonnggem
nia,Nias,Papunesia,0.90691,97.4961,nias1242,nia,Austronesian,157,
fuv,Nigerian Fulfulde,Africa,10.9972,11.1188,nige1253,fuv,Atlantic-Congo,249,garnottfula;typarnottfulamiddle;typarnottfulativ
nkx,Nkoroo,Africa,4.57641,7.45802,nkor1239,nkx,Ijoid,122,
not,Nomatsiguenga,South America,-11.5349,-74.4371,noma1263,not,Arawakan,148,
mrq,North Marquesan,Papunesia,-8.89412,-140.108,nort2845,mrq,Austronesian,148,slynchmarquesan
nde,North Ndebele,Africa,-20.2513,27.4096,nort2795,nde,Atlantic-Congo,129,sbowernlotridgendebele
ngb,Northern Ngbandi,Africa,3.56357,21.8525,nort2774,ngb,Atlantic-Congo,268,gtoronzoningbandi;sdlekensngbanditaal
gya,Northwest Gbaya,Africa,5.9503,15.2569,nort2775,gya,Atlantic-Congo,252,gnossgbaya;gnossgbaya1969;groulondokogbaya;sroulongbayakara
ncf,Notsi,Papunesia,-3.0557,151.661,nots1237,ncf,Austronesian,98,
NOCODE_Nzadi,Nzadi,Africa,-4.102208,20.194462,nzad1234,,Atlantic-Congo,188,gcraneetalnzadi
nzk,Nzakara,Africa,4.79567,22.8254,nzak1247,nzk,Atlantic-Congo,257,hldtuckerbryannonbantuneafrica;hstuckerhackettzande;sfouloubazoumanzakara;ssantandreabandazande
oks,Oko,Africa,7.53908,6.15725,okoe1238,oks,Atlantic-Congo,171,gatoyebioko2009
ury,Orya,Papunesia,-2.76483,139.89,orya1242,ury,Tor-Orya,145,phonfieldsorya;sfieldsorya
otr,Otoro,Africa,11.1187,30.573,otor1240,otr,Heiban,169,gstevensonotoro
pwn,Paiwan,Papunesia,22.3271,120.806,paiw1248,pwn,Austronesian,140,
plu,Palikúr,South America,3.63993,-51.6246,pali1279,plu,Arawakan,152,
pmb,Pambia,Africa,3.739,26.61,pamb1243,pmb,Atlantic-Congo,262,hldtuckerbryannonbantuneafrica;hstuckerhackettzande;ssantandreabandazande
pab,Parecís,South America,-14.5929,-57.4059,pare1272,pab,Arawakan,109,
NOCODE_Paunaca,Paunaca,South America,-15.954991,-61.944581,paun1241,,Arawakan,155,
ata,Pele-Ata,Papunesia,-5.58045,151.05,pele1245,ata,,90,
phk,Phake,Eurasia,27.8197,95.8131,phak1238,phk,Tai-Kadai,138,hvsmoreytai2002
pio,Piapoco,South America,4.37718,-68.5953,piap1246,pio,Arawakan,138,
plt,Plateau Malagasy,Africa,-19.5907,47.1211,plat1254,plt,Austronesian,150,
fuc,Pulaar,Africa,13.8694,-13.4482,pula1263,fuc,Atlantic-Congo,240,gdeguiraudonfulbe;gfofanaschleicherpulaar;gsyllapulaar;sfaidherbepoul
fuf,Pular,Africa,12.1826,-12.7338,pula1262,fuf,Atlantic-Congo,249,gdiallofuutajaloo;greichardtfulde;scaudilldiallofuutajallon
puw,Puluwatese,Papunesia,6.69748,149.31,pulu1242,puw,Austronesian,102,
pyu,Puyuma,Papunesia,22.643,120.996,puyu1239,pyu,Austronesian,159,
byx,Qaqet,Papunesia,-4.45258,151.702,qaqe1238,byx,Baining,97,
rai,Ramoaaina,Papunesia,-4.17306,152.451,ramo1244,rai,Austronesian,99,sdaviesfritzellramoaaina
rap,Rapanui,Papunesia,-27.113,-109.342,rapa1244,rap,Austronesian,140,
rwo,Rawa,Papunesia,-5.83155,145.937,rawa1267,rwo,Nuclear Trans New Guinea,147,
rel,Rendille,Africa,2.27065,37.3608,rend1243,rel,Afro-Asiatic,58,sheinerendille1980
mnv,Rennell-Bellona,Papunesia,-11.6237,160.265,renn1242,mnv,Austronesian,144,gelbertrennell
rgr,Resígaro,South America,-2.48139,-71.3578,resi1247,rgr,Arawakan,141,
rit,Ritarungo,Australia,-13.4559,135.259,rita1239,rit,Pama-Nyungan,152,
roo,Rotokas,Papunesia,-5.94339,155.154,roto1249,roo,North Bougainville,145,grobinsonrotokas2007
rtm,Rotuman,Papunesia,-12.5008,177.066,rotu1241,rtm,Austronesian,128,sschmidtrotuman
rug,Roviana,Papunesia,-8.20493,157.408,rovi1238,rug,Austronesian,96,scorstonoliverroviana
sll,Salt-Yui,Papunesia,-6.26519,145.021,salt1242,sll,Nuclear Trans New Guinea,135,
smo,Samoan,Papunesia,-13.92,-171.83,samo1305,smo,Austronesian,146,
sad,Sandawe,Africa,-5.26918,35.4808,sand1273,sad,,126,geatonsandawe;gsteemansandawe
sps,Saposa,Papunesia,-5.64103,154.732,sapo1253,sps,Austronesian,93,
sar,Saraveca,South America,-11.9423,-65.3945,sara1331,sar,Arawakan,35,
svs,Savosavo,Papunesia,-9.12853,159.814,savo1255,svs,,101,
lip,Sekpele,Africa,7.16751,0.5886,sekp1241,lip,Atlantic-Congo,166,
snw,Selee,Africa,7.17462,0.42458,sele1249,snw,Atlantic-Congo,241,gagbetsoamedoselee;sharfletttateselee
spl,Selepet,Papunesia,-6.03532,147.234,sele1250,spl,Nuclear Trans New Guinea,158,gmcelhanonselepetfinisterrehuon;smcelhanonselepet
she,Sheko,Africa,7.05022,35.2826,shek1245,she,Dizoid,152,ghellenthalsheko
sjr,Siar-Lak,Papunesia,-4.62059,152.892,siar1238,sjr,Austronesian,140,srosssiar
sid,Sidaama,Africa,6.74176,38.3729,sida1246,sid,Afro-Asiatic,179,gkawachisidaama
erg,Sie,Papunesia,-18.8181,169.166,siee1239,erg,Austronesian,156,gcrowleyerromangan;scrowleysye
skq,Sininkere,Africa,13.7206,-0.78772,sini1242,skq,Mande,230,
ssd,Siroi,Papunesia,-5.52893,145.994,siro1249,ssd,Nuclear Trans New Guinea,153,
NOCODE_Sisiqa,Sisiqa,Papunesia,-7.0,156.83,sisi1250,,Austronesian,120,srosssisiqa
siw,Siwai,Papunesia,-6.6429,155.452,siwa1245,siw,South Bougainville,151,donishimotuna;gonishimotuna
akp,Siwu,Africa,7.23811,0.44362,siwu1238,akp,Atlantic-Congo,155,gfordiddahsiwu;sringakpafulolobi;stypdingemansesiwu;widdahsiwu
sms,Skolt Sami,Eurasia,68.8326,29.7204,skol1241,sms,Uralic,151,gfeistskoltsaami
teu,So,Africa,2.58367,34.7595,sooo1256,teu,Kuliak,152,gcarlinso
som,Somali,Africa,4.778704,45.152856,soma1255,som,Afro-Asiatic,169,gsaeedsomali
snk,Soninke,Africa,13.1273,-11.7178,soni1259,snk,Mande,233,gdiagnesoninke;ggiriersoninkee;smoujibsoninke
erk,South Efate,Papunesia,-17.7006,168.377,sout2856,erk,Austronesian,160,gthiebergersefate
ktz,South-Eastern Ju,Africa,-19.688,20.7673,juho1239,ktz,Kxa,163,
kmc,Southern Dong,Eurasia,25.8874,109.222,sout2741,kmc,Tai-Kadai,132,syangedmondsonkam
kjd,Southern Kiwai,Papunesia,-8.64889,143.244,sout2949,kjd,Kiwaian,140,graykiwai
ssb,Southern Sama,Papunesia,5.07546,119.38,sout2918,ssb,Austronesian,145,sjunsama
szp,Suabo,Papunesia,-2.07971,132.157,suab1238,szp,Inanwatan,155,sdevriesinanwatan
tgo,Sudest,Papunesia,-11.5229,153.488,sude1239,tgo,Austronesian,95,sandersonrosssudest
sue,Suena,Papunesia,-7.76339,147.534,suen1241,sue,Nuclear Trans New Guinea,149,
syk,Sukur,Africa,10.8933,13.6437,suku1272,syk,Afro-Asiatic,155,gthomassakun
sua,Sulka,Papunesia,-5.03471,151.891,sulk1246,sua,,157,sreesinksulka
sgz,Sursurunga,Papunesia,-3.99078,152.768,surs1246,sgz,Austronesian,97,
swe,Swedish,Eurasia,59.800634,17.389526,swed1254,swe,Indo-European,262,
tcd,Tafi,Africa,6.79522,0.39875,tafi1243,tcd,Atlantic-Congo,171,gbobuafortafi
tgl,Tagalog,Papunesia,14.06,121.747,taga1270,tgl,Austronesian,159,shimmelmanntagalog
ago,Tainae,Papunesia,-7.40306,145.682,tain1253,ago,Angan,140,
tnq,Taino,North America,18.2836,-66.8042,tain1254,tnq,Arawakan,12,
tbc,Takia,Papunesia,-4.69057,145.975,taki1248,tbc,Austronesian,150,srosstakia
tae,Tariana,South America,0.440205,-68.9042,tari1256,tae,Arawakan,159,
trv,Taroko,Papunesia,23.9032,121.358,taro1264,trv,Austronesian,113,
tya,Tauya,Papunesia,-5.74255,145.366,tauy1241,tya,Nuclear Trans New Guinea,159,gmacdonaldtauya
tbo,Tawala,Papunesia,-10.3115,150.644,tawa1275,tbo,Austronesian,157,
tkw,Teanu,Papunesia,-11.6752,166.868,tean1237,tkw,Austronesian,137,stryonbuma
twe,Teiwa,Papunesia,-8.37662,124.174,teiw1235,twe,Timor-Alor-Pantar,75,
tlf,Telefol,Papunesia,-5.07444,141.731,tele1256,tlf,Nuclear Trans New Guinea,159,dhealeyhealeytelefol;ghealeytelefol;phonhealeytelefol;typhealeytelefolnoun;typhealeytelefolverb
tio,Teop,Papunesia,-5.67474,154.971,teop1238,tio,Austronesian,59,
buo,Terei,Papunesia,-6.70051,155.745,tere1278,buo,South Bougainville,93,
ter,Tereno,South America,-20.6614,-56.0329,tere1279,ter,Arawakan,130,
tet,Tetum,Papunesia,-9.11217,125.528,tetu1245,tet,Austronesian,144,
tha,Thai,Eurasia,14.192,100.671,thai1261,tha,Tai-Kadai,139,giwasakiingkaphiromthai
thd,Thayore,Australia,-14.8159,142.034,thay1249,thd,Pama-Nyungan,160,ggabythaayorre
tvo,Tidore,Papunesia,0.02461,127.746,tido1248,tvo,North Halmahera,159,gvanstadentidore
tgc,Tigak,Papunesia,-2.70951,150.893,tiga1245,tgc,Austronesian,97,
nza,Tigon Mbembe,Africa,6.98399,10.7085,tigo1236,nza,Atlantic-Congo,244,
tms,Tima,Africa,11.7176,29.1632,tima1241,tms,Katla-Tima,110,galamintima2012
tic,Tira,Africa,11.0963,30.8092,tira1254,tic,Heiban,155,sstevensontira
tiv,Tiv,Africa,6.88039,9.26287,tivv1240,tiv,Atlantic-Congo,213,ldmccawleytiv;sabrahamtiv;sdabrahamtiv;typarnottfulativ
tiw,Tiwi,Australia,-11.6308,130.949,tiwi1244,tiw,,159,dleetiwi;gleetiwi;gosbornetiwi
tlb,Tobelo,Papunesia,1.0946,128.154,tobe1252,tlb,North Halmahera,149,gholtontobelo
tod,Toma,Africa,8.20383,-9.23439,toma1245,tod,Mande,254,ssadlerlooma
tqu,Touo,Papunesia,-8.58405,157.296,touo1238,tqu,,102,
tsu,Tsou,Papunesia,23.216,120.787,tsou1248,tsu,Austronesian,155,szeitountsou
lcm,Tungag,Papunesia,-2.52188,150.198,tung1290,lcm,Austronesian,97,sstammlavongai
tuv,Turkana,Africa,4.30688,35.7101,turk1308,tuv,Nilotic,186,gdimmendaalturkana
tuk,Turkmen,Eurasia,37.0872,59.1757,turk1304,tuk,Turkic,258,
tvl,Tuvalu,Papunesia,-8.5,179.17,tuva1244,tvl,Austronesian,139,
udu,Uduk,Africa,9.16012,34.2293,uduk1239,udu,Koman,253,
kcf,Ukaan,Africa,7.59722,6.03933,ukaa1243,kcf,Atlantic-Congo,94,phonsalffnerukaan;typsalffnerikaan
uli,Ulithian,Papunesia,10.0,140.0,ulit1238,uli,Austronesian,128,gsohnbenderulithian;slynchulithian
gdn,Umanakaina,Papunesia,-9.89671,149.658,uman1240,gdn,Dagan,159,gevensenumanakaina
mtg,Una,Papunesia,-4.69676,140.1,unaa1239,mtg,Nuclear Trans New Guinea,145,glouwerseuna
bbn,Uneapa,Papunesia,-4.89383,149.141,unea1237,bbn,Austronesian,139,srossbalivitu
wnu,Usan,Papunesia,-4.84265,145.362,usan1239,wnu,Nuclear Trans New Guinea,159,greesinkusan
gel,Ut-Main,Africa,11.5319,4.8387,kagf1238,gel,Atlantic-Congo,170,typsmithutmain
piv,Vaeakau-Taumako,Papunesia,-9.95114,167.207,pile1238,piv,Austronesian,106,
wmb,Wambaya,Australia,-17.496,135.683,wamb1258,wmb,Mirndi,160,
wms,Wambon,Papunesia,-5.44334,140.48,wamb1259,wms,Nuclear Trans New Guinea,148,
wan,Wan,Africa,7.88773,-5.82092,wann1242,wan,Mande,248,htypnikitinawanproperties;typnikitinasovx;typnikitinawanpostpositional;typravenhillwan
wap,Wapishana,South America,2.58744,-59.8021,wapi1253,wap,Arawakan,135,hvtypconstenlaintermedia
wbp,Warlpiri,Australia,-20.1008,131.05,warl1254,wbp,Pama-Nyungan,158,dhalewarlpiri;gnashwarlpiri;gsimpsonwarlpiri1991;typhaleanalysisaustralian
wrb,Warluwara,Australia,-22.2909,138.738,warl1256,wrb,Pama-Nyungan,159,
wsk,Waskia,Papunesia,-4.57978,145.979,wask1241,wsk,Nuclear Trans New Guinea,146,grosspaolwaskia
wau,Waurá,South America,-13.296,-53.6971,waur1244,wau,Arawakan,133,
guc,Wayuu,South America,10.2252,-71.8101,wayu1243,guc,Arawakan,146,
bbp,West Central Banda,Africa,6.81435,24.1012,west2458,bbp,Atlantic-Congo,255,ssantandreabandazande;ssantandreagolo
kew,West Kewa,Papunesia,-6.32097,143.73,west2599,kew,Nuclear Trans New Guinea,158,dfranklinkewa;gfranklinkewa
tnp,Whitesands,Papunesia,-19.5019,169.381,whit1269,tnp,Austronesian,154,styphammondwhitesands
wol,Wolof,Africa,15.2534,-15.383,nucl1347,wol,Atlantic-Congo,252,dmunrogayewolof;gdioufwolof;gsauvageotdyolof;skawolof;sndiayewolof;sngomwolof;typcreisselsvoisinnouguierwolofvalency;typmclaughlinwolofnoun;typnouguierwolof;typrobertwolofclausechaining;typtorrencewolof;typvoisinnouguierwolof
wuv,Wuvulu-Aua,Papunesia,-1.73938,142.851,wuvu1239,wuv,Austronesian,94,ghaffordwuvulu
ane,Xârâcùù,Papunesia,-21.7034,165.996,xara1244,ane,Austronesian,154,slynchxaracuu
jae,Yabem,Papunesia,-6.67052,147.81,yabe1254,jae,Austronesian,157,sbradshawczoborjabem;srossjabem
axk,Yaka (Central African Republic),Africa,3.6515,17.2713,yaka1272,axk,Atlantic-Congo,265,lddukeaka;sthomasbahuchetaka
ame,Yanesha',South America,-10.5454,-75.315,yane1238,ame,Arawakan,142,
jao,Yanyuwa,Australia,-15.7621,136.055,yany1243,jao,Pama-Nyungan,145,
yre,Yaouré,Africa,6.95282,-5.57851,yaou1238,yre,Mande,246,
yap,Yapese,Papunesia,9.55811,138.125,yape1248,yap,Austronesian,145,
yvt,Yavitero,South America,9.8194,-67.4283,yavi1244,yvt,Arawakan,143,
yle,Yele,Papunesia,-11.3796,154.127,yele1255,yle,,156,
yss,Yessan-Mayo,Papunesia,-4.15721,142.574,yess1239,yss,Sepik,147,gforemanyessan
yey,Yeyi,Africa,-18.9178,23.6088,yeyi1239,yey,Atlantic-Congo,197,gseidelyeyi
yee,Yimas,Papunesia,-4.71731,143.572,yima1243,yee,Lower Sepik-Ramu,159,gfoleyyimas
zyb,Yongbei Zhuang,Eurasia,23.6818,107.184,yong1276,zyb,Tai-Kadai,139,hvldluozhuang;swangzhuangdong
ycn,Yucuna,South America,-0.76075,-71.0033,yucu1253,ycn,Arawakan,146,
zul,Zulu,Africa,-25.3305,31.3512,zulu1248,zul,Atlantic-Congo,58,gbuellzulu;gmbejezulu;spoulosboschzulu
oon,Önge,Eurasia,10.6926,92.4707,onge1236,oon,Jarawa-Onge,83,hvblevinssister;sabbiandaman;sdasguptasharmaonge
hgm,ǂAkhoe Haiǁom,Africa,-19.7637,17.0299,haio1238,hgm,Khoe-Kwadi,73,
