pk,jsondata,id,name,description,markup_description
1,"{""icon"": ""c0000dd""}",mani1293,Maningrida,http://glottolog.org/resource/languoid/id/mani1293,
2,"{""icon"": ""c009900""}",nort2933,North Bougainville,http://glottolog.org/resource/languoid/id/nort2933,
3,"{""icon"": ""c990099""}",geel1240,Geelvink Bay,http://glottolog.org/resource/languoid/id/geel1240,
4,"{""icon"": ""cdd0000""}",aust1307,Austronesian,http://glottolog.org/resource/languoid/id/aust1307,
5,"{""icon"": ""cffff00""}",afro1255,Afro-Asiatic,http://glottolog.org/resource/languoid/id/afro1255,
6,"{""icon"": ""cffffff""}",mand1469,Mande,http://glottolog.org/resource/languoid/id/mand1469,
7,"{""icon"": ""c00ff00""}",atla1278,Atlantic-Congo,http://glottolog.org/resource/languoid/id/atla1278,
8,"{""icon"": ""c00ffff""}",araw1281,Arawakan,http://glottolog.org/resource/languoid/id/araw1281,
9,"{""icon"": ""ccccccc""}",pama1250,Pama-Nyungan,http://glottolog.org/resource/languoid/id/pama1250,
10,"{""icon"": ""cff6600""}",kxaa1236,Kxa,http://glottolog.org/resource/languoid/id/kxaa1236,
11,"{""icon"": ""s0000dd""}",nucl1709,Nuclear Trans New Guinea,http://glottolog.org/resource/languoid/id/nucl1709,
12,"{""icon"": ""s009900""}",sout2772,Southern Daly,http://glottolog.org/resource/languoid/id/sout2772,
13,"{""icon"": ""s990099""}",mirn1241,Mirndi,http://glottolog.org/resource/languoid/id/mirn1241,
14,"{""icon"": ""sdd0000""}",iwai1246,Iwaidjan Proper,http://glottolog.org/resource/languoid/id/iwai1246,
15,"{""icon"": ""sffff00""}",sout2845,South Omotic,http://glottolog.org/resource/languoid/id/sout2845,
16,"{""icon"": ""sffffff""}",gunw1250,Gunwinyguan,http://glottolog.org/resource/languoid/id/gunw1250,
17,"{""icon"": ""s00ff00""}",nilo1247,Nilotic,http://glottolog.org/resource/languoid/id/nilo1247,
18,"{""icon"": ""s00ffff""}",kuli1252,Kuliak,http://glottolog.org/resource/languoid/id/kuli1252,
19,"{""icon"": ""scccccc""}",mair1253,Mairasi,http://glottolog.org/resource/languoid/id/mair1253,
20,"{""icon"": ""sff6600""}",nduu1242,Ndu,http://glottolog.org/resource/languoid/id/nduu1242,
21,"{""icon"": ""t0000dd""}",timo1261,Timor-Alor-Pantar,http://glottolog.org/resource/languoid/id/timo1261,
22,"{""icon"": ""t009900""}",mang1423,Mangarrayi-Maran,http://glottolog.org/resource/languoid/id/mang1423,
23,"{""icon"": ""t990099""}",nubi1251,Nubian,http://glottolog.org/resource/languoid/id/nubi1251,
24,"{""icon"": ""tdd0000""}",east1459,East Bird's Head,http://glottolog.org/resource/languoid/id/east1459,
25,"{""icon"": ""tffff00""}",grea1241,Great Andamanese,http://glottolog.org/resource/languoid/id/grea1241,
26,"{""icon"": ""tffffff""}",east2503,Eastern Trans-Fly,http://glottolog.org/resource/languoid/id/east2503,
27,"{""icon"": ""t00ff00""}",taik1256,Tai-Kadai,http://glottolog.org/resource/languoid/id/taik1256,
28,"{""icon"": ""t00ffff""}",nucl1708,Nuclear Torricelli,http://glottolog.org/resource/languoid/id/nucl1708,
29,"{""icon"": ""tff6600""}",jara1244,Jarawa-Onge,http://glottolog.org/resource/languoid/id/jara1244,
30,"{""icon"": ""f0000dd""}",ijoi1239,Ijoid,http://glottolog.org/resource/languoid/id/ijoi1239,
31,"{""icon"": ""f009900""}",kadu1256,Kadugli-Krongo,http://glottolog.org/resource/languoid/id/kadu1256,
32,"{""icon"": ""f990099""}",bain1263,Baining,http://glottolog.org/resource/languoid/id/bain1263,
33,"{""icon"": ""fdd0000""}",sout2948,South Bougainville,http://glottolog.org/resource/languoid/id/sout2948,
34,"{""icon"": ""fffff00""}",tang1340,Tangkic,http://glottolog.org/resource/languoid/id/tang1340,
35,"{""icon"": ""fffffff""}",indo1319,Indo-European,http://glottolog.org/resource/languoid/id/indo1319,
36,"{""icon"": ""f00ff00""}",sepi1257,Sepik,http://glottolog.org/resource/languoid/id/sepi1257,
37,"{""icon"": ""f00ffff""}",koia1260,Koiarian,http://glottolog.org/resource/languoid/id/koia1260,
38,"{""icon"": ""fcccccc""}",sena1264,Senagi,http://glottolog.org/resource/languoid/id/sena1264,
39,"{""icon"": ""fff6600""}",garr1260,Garrwan,http://glottolog.org/resource/languoid/id/garr1260,
40,"{""icon"": ""d0000dd""}",bord1247,Border,http://glottolog.org/resource/languoid/id/bord1247,
41,"{""icon"": ""d009900""}",ural1272,Uralic,http://glottolog.org/resource/languoid/id/ural1272,
42,"{""icon"": ""d990099""}",dizo1235,Dizoid,http://glottolog.org/resource/languoid/id/dizo1235,
43,"{""icon"": ""ddd0000""}",koma1264,Koman,http://glottolog.org/resource/languoid/id/koma1264,
44,"{""icon"": ""dffff00""}",more1255,Morehead-Wasur,http://glottolog.org/resource/languoid/id/more1255,
45,"{""icon"": ""dffffff""}",khoe1240,Khoe-Kwadi,http://glottolog.org/resource/languoid/id/khoe1240,
46,"{""icon"": ""d00ff00""}",anim1240,Anim,http://glottolog.org/resource/languoid/id/anim1240,
47,"{""icon"": ""d00ffff""}",toro1256,Tor-Orya,http://glottolog.org/resource/languoid/id/toro1256,
48,"{""icon"": ""dcccccc""}",inan1242,Inanwatan,http://glottolog.org/resource/languoid/id/inan1242,
49,"{""icon"": ""dff6600""}",skoo1245,Sko,http://glottolog.org/resource/languoid/id/skoo1245,
50,"{""icon"": ""c000000""}",east2386,Eastern Jebel,http://glottolog.org/resource/languoid/id/east2386,
51,"{""icon"": ""c0000ff""}",turk1311,Turkic,http://glottolog.org/resource/languoid/id/turk1311,
52,"{""icon"": ""c4d6cee""}",kiwa1251,Kiwaian,http://glottolog.org/resource/languoid/id/kiwa1251,
53,"{""icon"": ""c66ff33""}",nort2923,North Halmahera,http://glottolog.org/resource/languoid/id/nort2923,
54,"{""icon"": ""c9999ff""}",worr1236,Worrorran,http://glottolog.org/resource/languoid/id/worr1236,
55,"{""icon"": ""c99ffff""}",hata1242,Hatam-Mansim,http://glottolog.org/resource/languoid/id/hata1242,
56,"{""icon"": ""ca0fb75""}",heib1242,Heiban,http://glottolog.org/resource/languoid/id/heib1242,
57,"{""icon"": ""caa0000""}",anga1289,Angan,http://glottolog.org/resource/languoid/id/anga1289,
58,"{""icon"": ""ccb9a34""}",buna1274,Bunaban,http://glottolog.org/resource/languoid/id/buna1274,
59,"{""icon"": ""cd22257""}",lowe1437,Lower Sepik-Ramu,http://glottolog.org/resource/languoid/id/lowe1437,
60,"{""icon"": ""ce8e8e8""}",daga1274,Dagan,http://glottolog.org/resource/languoid/id/daga1274,
61,"{""icon"": ""ced9c07""}",katl1246,Katla-Tima,http://glottolog.org/resource/languoid/id/katl1246,
62,"{""icon"": ""cefe305""}",nakh1245,Nakh-Daghestanian,http://glottolog.org/resource/languoid/id/nakh1245,
63,"{""icon"": ""cf38847""}",barb1265,Barbacoan,http://glottolog.org/resource/languoid/id/barb1265,
64,"{""icon"": ""cf3ffb0""}",maoo1243,Mao,http://glottolog.org/resource/languoid/id/maoo1243,
65,"{""icon"": ""cfe3856""}",sino1245,Sino-Tibetan,http://glottolog.org/resource/languoid/id/sino1245,
66,"{""icon"": ""cff0000""}",bosa1245,Bosavi,http://glottolog.org/resource/languoid/id/bosa1245,
67,"{""icon"": ""cff00ff""}",nyul1248,Nyulnyulan,http://glottolog.org/resource/languoid/id/nyul1248,
68,"{""icon"": ""cff4400""}",gong1255,Ta-Ne-Omotic,http://glottolog.org/resource/languoid/id/gong1255,
