pk,jsondata,name,description,markup_description,id,type,lang
1,{},bvr,,,iso:bvr,iso639-3,en
2,{},bura1267,,,glottolog:bura1267,glottolog,en
3,{},roo,,,iso:roo,iso639-3,en
4,{},roto1249,,,glottolog:roto1249,glottolog,en
5,{},bvz,,,iso:bvz,iso639-3,en
6,{},bauz1241,,,glottolog:bauz1241,glottolog,en
7,{},mnv,,,iso:mnv,iso639-3,en
8,{},renn1242,,,glottolog:renn1242,glottolog,en
9,{},bva,,,iso:bva,iso639-3,en
10,{},bare1279,,,glottolog:bare1279,glottolog,en
11,{},mnk,,,iso:mnk,iso639-3,en
12,{},mand1436,,,glottolog:mand1436,glottolog,en
13,{},nzad1234,,,glottolog:nzad1234,glottolog,en
14,{},mnb,,,iso:mnb,iso639-3,en
15,{},muna1247,,,glottolog:muna1247,glottolog,en
16,{},gae,,,iso:gae,iso639-3,en
17,{},guar1293,,,glottolog:guar1293,glottolog,en
18,{},yvt,,,iso:yvt,iso639-3,en
19,{},yavi1244,,,glottolog:yavi1244,glottolog,en
20,{},mwp,,,iso:mwp,iso639-3,en
21,{},kala1377,,,glottolog:kala1377,glottolog,en
22,{},aue,,,iso:aue,iso639-3,en
23,{},kxau1241,,,glottolog:kxau1241,glottolog,en
24,{},wms,,,iso:wms,iso639-3,en
25,{},wamb1259,,,glottolog:wamb1259,glottolog,en
26,{},bqj,,,iso:bqj,iso639-3,en
27,{},band1340,,,glottolog:band1340,glottolog,en
28,{},dba,,,iso:dba,iso639-3,en
29,{},bang1363,,,glottolog:bang1363,glottolog,en
30,{},mwf,,,iso:mwf,iso639-3,en
31,{},murr1258,,,glottolog:murr1258,glottolog,en
32,{},wmb,,,iso:wmb,iso639-3,en
33,{},wamb1258,,,glottolog:wamb1258,glottolog,en
34,{},kcf,,,iso:kcf,iso639-3,en
35,{},ukaa1243,,,glottolog:ukaa1243,glottolog,en
36,{},mph,,,iso:mph,iso639-3,en
37,{},maun1240,,,glottolog:maun1240,glottolog,en
38,{},mpt,,,iso:mpt,iso639-3,en
39,{},mian1256,,,glottolog:mian1256,glottolog,en
40,{},guc,,,iso:guc,iso639-3,en
41,{},wayu1243,,,glottolog:wayu1243,glottolog,en
42,{},dim,,,iso:dim,iso639-3,en
43,{},dime1235,,,glottolog:dime1235,glottolog,en
44,{},apol1242,,,glottolog:apol1242,glottolog,en
45,{},wsk,,,iso:wsk,iso639-3,en
46,{},wask1241,,,glottolog:wask1241,glottolog,en
47,{},bxk,,,iso:bxk,iso639-3,en
48,{},buku1249,,,glottolog:buku1249,glottolog,en
49,{},gup,,,iso:gup,iso639-3,en
50,{},gunw1252,,,glottolog:gunw1252,glottolog,en
51,{},bxb,,,iso:bxb,iso639-3,en
52,{},bela1256,,,glottolog:bela1256,glottolog,en
53,{},trv,,,iso:trv,iso639-3,en
54,{},taro1264,,,glottolog:taro1264,glottolog,en
55,{},nbq,,,iso:nbq,iso639-3,en
56,{},ngge1241,,,glottolog:ngge1241,glottolog,en
57,{},pmb,,,iso:pmb,iso639-3,en
58,{},pamb1243,,,glottolog:pamb1243,glottolog,en
59,{},ter,,,iso:ter,iso639-3,en
60,{},tere1279,,,glottolog:tere1279,glottolog,en
61,{},tet,,,iso:tet,iso639-3,en
62,{},tetu1245,,,glottolog:tetu1245,glottolog,en
63,{},teu,,,iso:teu,iso639-3,en
64,{},sooo1256,,,glottolog:sooo1256,glottolog,en
65,{},sll,,,iso:sll,iso639-3,en
66,{},salt1242,,,glottolog:salt1242,glottolog,en
67,{},sue,,,iso:sue,iso639-3,en
68,{},suen1241,,,glottolog:suen1241,glottolog,en
69,{},zrs,,,iso:zrs,iso639-3,en
70,{},nucl1594,,,glottolog:nucl1594,glottolog,en
71,{},sua,,,iso:sua,iso639-3,en
72,{},sulk1246,,,glottolog:sulk1246,glottolog,en
73,{},nee,,,iso:nee,iso639-3,en
74,{},kuma1276,,,glottolog:kuma1276,glottolog,en
75,{},erg,,,iso:erg,iso639-3,en
76,{},siee1239,,,glottolog:siee1239,glottolog,en
77,{},abt,,,iso:abt,iso639-3,en
78,{},ambu1247,,,glottolog:ambu1247,glottolog,en
79,{},ycn,,,iso:ycn,iso639-3,en
80,{},yucu1253,,,glottolog:yucu1253,glottolog,en
81,{},abz,,,iso:abz,iso639-3,en
82,{},abui1241,,,glottolog:abui1241,glottolog,en
83,{},bdy,,,iso:bdy,iso639-3,en
84,{},band1339,,,glottolog:band1339,glottolog,en
85,{},mee,,,iso:mee,iso639-3,en
86,{},meng1267,,,glottolog:meng1267,glottolog,en
87,{},mec,,,iso:mec,iso639-3,en
88,{},mara1385,,,glottolog:mara1385,glottolog,en
89,{},men,,,iso:men,iso639-3,en
90,{},mend1266,,,glottolog:mend1266,glottolog,en
91,{},mei,,,iso:mei,iso639-3,en
92,{},mido1240,,,glottolog:mido1240,glottolog,en
93,{},mej,,,iso:mej,iso639-3,en
94,{},meya1236,,,glottolog:meya1236,glottolog,en
95,{},mev,,,iso:mev,iso639-3,en
96,{},mann1248,,,glottolog:mann1248,glottolog,en
97,{},sjr,,,iso:sjr,iso639-3,en
98,{},siar1238,,,glottolog:siar1238,glottolog,en
99,{},akp,,,iso:akp,iso639-3,en
100,{},siwu1238,,,glottolog:siwu1238,glottolog,en
101,{},akj,,,iso:akj,iso639-3,en
102,{},akaj1239,,,glottolog:akaj1239,glottolog,en
103,{},bon,,,iso:bon,iso639-3,en
104,{},bine1240,,,glottolog:bine1240,glottolog,en
105,{},tha,,,iso:tha,iso639-3,en
106,{},thai1261,,,glottolog:thai1261,glottolog,en
107,{},aka,,,iso:aka,iso639-3,en
108,{},akan1250,,,glottolog:akan1250,glottolog,en
109,{},sgz,,,iso:sgz,iso639-3,en
110,{},surs1246,,,glottolog:surs1246,glottolog,en
111,{},apu,,,iso:apu,iso639-3,en
112,{},apur1254,,,glottolog:apur1254,glottolog,en
113,{},brm,,,iso:brm,iso639-3,en
114,{},bara1361,,,glottolog:bara1361,glottolog,en
115,{},mmd,,,iso:mmd,iso639-3,en
116,{},maon1241,,,glottolog:maon1241,glottolog,en
117,{},brg,,,iso:brg,iso639-3,en
118,{},baur1253,,,glottolog:baur1253,glottolog,en
119,{},ape,,,iso:ape,iso639-3,en
120,{},buki1249,,,glottolog:buki1249,glottolog,en
121,{},ksd,,,iso:ksd,iso639-3,en
122,{},kuan1248,,,glottolog:kuan1248,glottolog,en
123,{},kgq,,,iso:kgq,iso639-3,en
124,{},kamo1255,,,glottolog:kamo1255,glottolog,en
125,{},oon,,,iso:oon,iso639-3,en
126,{},onge1236,,,glottolog:onge1236,glottolog,en
127,{},nkx,,,iso:nkx,iso639-3,en
128,{},nkor1239,,,glottolog:nkor1239,glottolog,en
129,{},kgo,,,iso:kgo,iso639-3,en
130,{},kron1241,,,glottolog:kron1241,glottolog,en
131,{},gqn,,,iso:gqn,iso639-3,en
132,{},guan1270,,,glottolog:guan1270,glottolog,en
133,{},tnq,,,iso:tnq,iso639-3,en
134,{},tain1254,,,glottolog:tain1254,glottolog,en
135,{},tnp,,,iso:tnp,iso639-3,en
136,{},whit1269,,,glottolog:whit1269,glottolog,en
137,{},ulk,,,iso:ulk,iso639-3,en
138,{},meri1244,,,glottolog:meri1244,glottolog,en
139,{},uli,,,iso:uli,iso639-3,en
140,{},ulit1238,,,glottolog:ulit1238,glottolog,en
141,{},cam,,,iso:cam,iso639-3,en
142,{},cemu1238,,,glottolog:cemu1238,glottolog,en
143,{},cab,,,iso:cab,iso639-3,en
144,{},gari1256,,,glottolog:gari1256,glottolog,en
145,{},gqu,,,iso:gqu,iso639-3,en
146,{},qaua1234,,,glottolog:qaua1234,glottolog,en
147,{},erk,,,iso:erk,iso639-3,en
148,{},sout2856,,,glottolog:sout2856,glottolog,en
149,{},hhr,,,iso:hhr,iso639-3,en
150,{},kera1248,,,glottolog:kera1248,glottolog,en
151,{},kyo,,,iso:kyo,iso639-3,en
152,{},kelo1247,,,glottolog:kelo1247,glottolog,en
153,{},sps,,,iso:sps,iso639-3,en
154,{},sapo1253,,,glottolog:sapo1253,glottolog,en
155,{},tae,,,iso:tae,iso639-3,en
156,{},tari1256,,,glottolog:tari1256,glottolog,en
157,{},spl,,,iso:spl,iso639-3,en
158,{},sele1250,,,glottolog:sele1250,glottolog,en
159,{},ygr,,,iso:ygr,iso639-3,en
160,{},yaga1260,,,glottolog:yaga1260,glottolog,en
161,{},gcc,,,iso:gcc,iso639-3,en
162,{},mali1284,,,glottolog:mali1284,glottolog,en
163,{},siw,,,iso:siw,iso639-3,en
164,{},siwa1245,,,glottolog:siwa1245,glottolog,en
165,{},gcd,,,iso:gcd,iso639-3,en
166,{},gang1267,,,glottolog:gang1267,glottolog,en
167,{},eng,,,iso:eng,iso639-3,en
168,{},stan1293,,,glottolog:stan1293,glottolog,en
169,{},sid,,,iso:sid,iso639-3,en
170,{},sida1246,,,glottolog:sida1246,glottolog,en
171,{},sim,,,iso:sim,iso639-3,en
172,{},mend1268,,,glottolog:mend1268,glottolog,en
173,{},mas,,,iso:mas,iso639-3,en
174,{},masa1300,,,glottolog:masa1300,glottolog,en
175,{},lao,,,iso:lao,iso639-3,en
176,{},laoo1244,,,glottolog:laoo1244,glottolog,en
177,{},laj,,,iso:laj,iso639-3,en
178,{},lang1324,,,glottolog:lang1324,glottolog,en
179,{},bkc,,,iso:bkc,iso639-3,en
180,{},baka1272,,,glottolog:baka1272,glottolog,en
181,{},snk,,,iso:snk,iso639-3,en
182,{},soni1259,,,glottolog:soni1259,glottolog,en
183,{},aoi,,,iso:aoi,iso639-3,en
184,{},anin1240,,,glottolog:anin1240,glottolog,en
185,{},snw,,,iso:snw,iso639-3,en
186,{},sele1249,,,glottolog:sele1249,glottolog,en
187,{},mad,,,iso:mad,iso639-3,en
188,{},nucl1460,,,glottolog:nucl1460,glottolog,en
189,{},mak,,,iso:mak,iso639-3,en
190,{},maka1311,,,glottolog:maka1311,glottolog,en
191,{},mgs,,,iso:mgs,iso639-3,en
192,{},mand1423,,,glottolog:mand1423,glottolog,en
193,{},kbk,,,iso:kbk,iso639-3,en
194,{},gras1249,,,glottolog:gras1249,glottolog,en
195,{},wuv,,,iso:wuv,iso639-3,en
196,{},wuvu1239,,,glottolog:wuvu1239,glottolog,en
197,{},ffm,,,iso:ffm,iso639-3,en
198,{},maas1239,,,glottolog:maas1239,glottolog,en
199,{},uvl,,,iso:uvl,iso639-3,en
200,{},lote1237,,,glottolog:lote1237,glottolog,en
201,{},mgz,,,iso:mgz,iso639-3,en
202,{},mbug1242,,,glottolog:mbug1242,glottolog,en
203,{},kbv,,,iso:kbv,iso639-3,en
204,{},dera1245,,,glottolog:dera1245,glottolog,en
205,{},djr,,,iso:djr,iso639-3,en
206,{},djam1256,,,glottolog:djam1256,glottolog,en
207,{},wrb,,,iso:wrb,iso639-3,en
208,{},warl1256,,,glottolog:warl1256,glottolog,en
209,{},byx,,,iso:byx,iso639-3,en
210,{},qaqe1238,,,glottolog:qaqe1238,glottolog,en
211,{},wrk,,,iso:wrk,iso639-3,en
212,{},gara1269,,,glottolog:gara1269,glottolog,en
213,{},imn,,,iso:imn,iso639-3,en
214,{},imon1245,,,glottolog:imon1245,glottolog,en
215,{},fij,,,iso:fij,iso639-3,en
216,{},fiji1243,,,glottolog:fiji1243,glottolog,en
217,{},pcc,,,iso:pcc,iso639-3,en
218,{},bouy1240,,,glottolog:bouy1240,glottolog,en
219,{},tsu,,,iso:tsu,iso639-3,en
220,{},tsou1248,,,glottolog:tsou1248,glottolog,en
221,{},fin,,,iso:fin,iso639-3,en
222,{},finn1318,,,glottolog:finn1318,glottolog,en
223,{},oks,,,iso:oks,iso639-3,en
224,{},okoe1238,,,glottolog:okoe1238,glottolog,en
225,{},ceb,,,iso:ceb,iso639-3,en
226,{},cebu1242,,,glottolog:cebu1242,glottolog,en
227,{},dal,,,iso:dal,iso639-3,en
228,{},daha1245,,,glottolog:daha1245,glottolog,en
229,{},rwo,,,iso:rwo,iso639-3,en
230,{},rawa1267,,,glottolog:rawa1267,glottolog,en
231,{},mxm,,,iso:mxm,iso639-3,en
232,{},mera1242,,,glottolog:mera1242,glottolog,en
233,{},kkk,,,iso:kkk,iso639-3,en
234,{},koko1269,,,glottolog:koko1269,glottolog,en
235,{},not,,,iso:not,iso639-3,en
236,{},noma1263,,,glottolog:noma1263,glottolog,en
237,{},kpr,,,iso:kpr,iso639-3,en
238,{},kora1294,,,glottolog:kora1294,glottolog,en
239,{},kpw,,,iso:kpw,iso639-3,en
240,{},kobo1249,,,glottolog:kobo1249,glottolog,en
241,{},nfl,,,iso:nfl,iso639-3,en
242,{},ayiw1239,,,glottolog:ayiw1239,glottolog,en
243,{},kpc,,,iso:kpc,iso639-3,en
244,{},curr1243,,,glottolog:curr1243,glottolog,en
245,{},mdx,,,iso:mdx,iso639-3,en
246,{},dizi1235,,,glottolog:dizi1235,glottolog,en
247,{},hla,,,iso:hla,iso639-3,en
248,{},hali1244,,,glottolog:hali1244,glottolog,en
249,{},goa,,,iso:goa,iso639-3,en
250,{},guro1248,,,glottolog:guro1248,glottolog,en
251,{},smo,,,iso:smo,iso639-3,en
252,{},samo1305,,,glottolog:samo1305,glottolog,en
253,{},gox,,,iso:gox,iso639-3,en
254,{},gobu1238,,,glottolog:gobu1238,glottolog,en
255,{},rel,,,iso:rel,iso639-3,en
256,{},rend1243,,,glottolog:rend1243,glottolog,en
257,{},gow,,,iso:gow,iso639-3,en
258,{},goro1270,,,glottolog:goro1270,glottolog,en
259,{},blb,,,iso:blb,iso639-3,en
260,{},bilu1245,,,glottolog:bilu1245,glottolog,en
261,{},mmx,,,iso:mmx,iso639-3,en
262,{},mada1285,,,glottolog:mada1285,glottolog,en
263,{},sbc,,,iso:sbc,iso639-3,en
264,{},kele1258,,,glottolog:kele1258,glottolog,en
265,{},mmh,,,iso:mmh,iso639-3,en
266,{},mehi1240,,,glottolog:mehi1240,glottolog,en
267,{},bwi,,,iso:bwi,iso639-3,en
268,{},bani1255,,,glottolog:bani1255,glottolog,en
269,{},puw,,,iso:puw,iso639-3,en
270,{},pulu1242,,,glottolog:pulu1242,glottolog,en
271,{},ata,,,iso:ata,iso639-3,en
272,{},pele1245,,,glottolog:pele1245,glottolog,en
273,{},mva,,,iso:mva,iso639-3,en
274,{},mana1295,,,glottolog:mana1295,glottolog,en
275,{},ish,,,iso:ish,iso639-3,en
276,{},esan1238,,,glottolog:esan1238,glottolog,en
277,{},mkj,,,iso:mkj,iso639-3,en
278,{},moki1238,,,glottolog:moki1238,glottolog,en
279,{},sisi1250,,,glottolog:sisi1250,glottolog,en
280,{},iai,,,iso:iai,iso639-3,en
281,{},iaai1238,,,glottolog:iaai1238,glottolog,en
282,{},kol,,,iso:kol,iso639-3,en
283,{},kolp1236,,,glottolog:kolp1236,glottolog,en
284,{},kos,,,iso:kos,iso639-3,en
285,{},kosr1238,,,glottolog:kosr1238,glottolog,en
286,{},tof,,,iso:tof,iso639-3,en
287,{},gizr1240,,,glottolog:gizr1240,glottolog,en
288,{},tod,,,iso:tod,iso639-3,en
289,{},toma1245,,,glottolog:toma1245,glottolog,en
290,{},gyg,,,iso:gyg,iso639-3,en
291,{},gbay1278,,,glottolog:gbay1278,glottolog,en
292,{},gyd,,,iso:gyd,iso639-3,en
293,{},kaya1319,,,glottolog:kaya1319,glottolog,en
294,{},gya,,,iso:gya,iso639-3,en
295,{},nort2775,,,glottolog:nort2775,glottolog,en
296,{},udu,,,iso:udu,iso639-3,en
297,{},uduk1239,,,glottolog:uduk1239,glottolog,en
298,{},hau,,,iso:hau,iso639-3,en
299,{},haus1257,,,glottolog:haus1257,glottolog,en
300,{},ncf,,,iso:ncf,iso639-3,en
301,{},nots1237,,,glottolog:nots1237,glottolog,en
302,{},bej,,,iso:bej,iso639-3,en
303,{},beja1238,,,glottolog:beja1238,glottolog,en
304,{},ktz,,,iso:ktz,iso639-3,en
305,{},juho1239,,,glottolog:juho1239,glottolog,en
306,{},beg,,,iso:beg,iso639-3,en
307,{},bela1260,,,glottolog:bela1260,glottolog,en
308,{},stk,,,iso:stk,iso639-3,en
309,{},aram1253,,,glottolog:aram1253,glottolog,en
310,{},bez,,,iso:bez,iso639-3,en
311,{},bena1262,,,glottolog:bena1262,glottolog,en
312,{},nza,,,iso:nza,iso639-3,en
313,{},tigo1236,,,glottolog:tigo1236,glottolog,en
314,{},kto,,,iso:kto,iso639-3,en
315,{},kuot1243,,,glottolog:kuot1243,glottolog,en
316,{},nzk,,,iso:nzk,iso639-3,en
317,{},nzak1247,,,glottolog:nzak1247,glottolog,en
318,{},ktb,,,iso:ktb,iso639-3,en
319,{},kamb1316,,,glottolog:kamb1316,glottolog,en
320,{},ane,,,iso:ane,iso639-3,en
321,{},xara1244,,,glottolog:xara1244,glottolog,en
322,{},lbz,,,iso:lbz,iso639-3,en
323,{},lard1243,,,glottolog:lard1243,glottolog,en
324,{},sad,,,iso:sad,iso639-3,en
325,{},sand1273,,,glottolog:sand1273,glottolog,en
326,{},anu,,,iso:anu,iso639-3,en
327,{},anua1242,,,glottolog:anua1242,glottolog,en
328,{},rap,,,iso:rap,iso639-3,en
329,{},rapa1244,,,glottolog:rapa1244,glottolog,en
330,{},sar,,,iso:sar,iso639-3,en
331,{},sara1331,,,glottolog:sara1331,glottolog,en
332,{},bhw,,,iso:bhw,iso639-3,en
333,{},biak1248,,,glottolog:biak1248,glottolog,en
334,{},lic,,,iso:lic,iso639-3,en
335,{},hlai1239,,,glottolog:hlai1239,glottolog,en
336,{},lin,,,iso:lin,iso639-3,en
337,{},ling1263,,,glottolog:ling1263,glottolog,en
338,{},hgm,,,iso:hgm,iso639-3,en
339,{},haio1238,,,glottolog:haio1238,glottolog,en
340,{},lip,,,iso:lip,iso639-3,en
341,{},sekp1241,,,glottolog:sekp1241,glottolog,en
342,{},kab,,,iso:kab,iso639-3,en
343,{},kaby1243,,,glottolog:kaby1243,glottolog,en
344,{},tya,,,iso:tya,iso639-3,en
345,{},tauy1241,,,glottolog:tauy1241,glottolog,en
346,{},bda,,,iso:bda,iso639-3,en
347,{},bayo1255,,,glottolog:bayo1255,glottolog,en
348,{},mrz,,,iso:mrz,iso639-3,en
349,{},nucl1622,,,glottolog:nucl1622,glottolog,en
350,{},mrq,,,iso:mrq,iso639-3,en
351,{},nort2845,,,glottolog:nort2845,glottolog,en
352,{},mrn,,,iso:mrn,iso639-3,en
353,{},chek1238,,,glottolog:chek1238,glottolog,en
354,{},mri,,,iso:mri,iso639-3,en
355,{},maor1246,,,glottolog:maor1246,glottolog,en
356,{},axk,,,iso:axk,iso639-3,en
357,{},yaka1272,,,glottolog:yaka1272,glottolog,en
358,{},ury,,,iso:ury,iso639-3,en
359,{},orya1242,,,glottolog:orya1242,glottolog,en
