pk,jsondata,language_pk,source_pk
1,{},312,250
2,{},90,219
3,{},330,125
4,{},252,271
5,{},336,116
6,{},310,143
7,{},217,270
8,{},268,138
9,{},53,70
10,{},226,19
11,{},123,153
12,{},343,298
13,{},155,76
14,{},46,288
15,{},1,102
16,{},350,213
17,{},343,228
18,{},298,85
19,{},187,5
20,{},354,105
21,{},51,314
22,{},119,126
23,{},130,256
24,{},328,83
25,{},92,299
26,{},224,79
27,{},347,291
28,{},195,133
29,{},100,156
30,{},265,209
31,{},82,39
32,{},174,28
33,{},336,117
34,{},255,50
35,{},291,187
36,{},127,321
37,{},352,329
38,{},209,119
39,{},315,278
40,{},70,103
41,{},146,73
42,{},118,161
43,{},188,177
44,{},208,316
45,{},279,23
46,{},51,261
47,{},258,317
48,{},30,175
49,{},4,130
50,{},276,236
51,{},354,107
52,{},164,242
53,{},294,64
54,{},74,167
55,{},6,263
56,{},324,324
57,{},317,158
58,{},104,40
59,{},332,24
60,{},42,29
61,{},157,330
62,{},55,312
63,{},252,231
64,{},122,7
65,{},58,173
66,{},118,162
67,{},217,286
68,{},322,186
69,{},3,69
70,{},150,301
71,{},217,216
72,{},344,80
73,{},140,295
74,{},81,4
75,{},192,150
76,{},71,90
77,{},319,237
78,{},238,211
79,{},75,93
80,{},226,17
81,{},165,222
82,{},55,322
83,{},64,96
84,{},127,258
85,{},315,327
86,{},213,232
87,{},80,13
88,{},238,173
89,{},133,154
90,{},291,273
91,{},160,173
92,{},129,173
93,{},217,300
94,{},159,38
95,{},287,245
96,{},207,304
97,{},318,173
98,{},149,53
99,{},292,147
100,{},244,145
101,{},294,65
102,{},220,196
103,{},36,68
104,{},326,205
105,{},268,139
106,{},219,201
107,{},226,18
108,{},86,218
109,{},195,134
110,{},91,328
111,{},176,10
112,{},198,214
113,{},116,265
114,{},274,224
115,{},91,206
116,{},30,173
117,{},64,95
118,{},118,160
119,{},335,27
120,{},126,163
121,{},204,192
122,{},348,58
123,{},217,297
124,{},205,132
125,{},307,146
126,{},232,148
127,{},94,191
128,{},69,210
129,{},245,182
130,{},18,305
131,{},33,226
132,{},47,267
133,{},241,244
134,{},209,120
135,{},6,268
136,{},153,254
137,{},18,318
138,{},99,8
139,{},37,108
140,{},70,104
141,{},6,188
142,{},345,26
143,{},127,217
144,{},222,2
145,{},249,281
146,{},43,99
147,{},222,3
148,{},348,59
149,{},39,112
150,{},101,184
151,{},226,16
152,{},227,61
153,{},290,31
154,{},173,190
155,{},150,189
156,{},44,135
157,{},200,195
158,{},197,283
159,{},245,292
160,{},92,331
161,{},196,1
162,{},46,325
163,{},112,82
164,{},30,174
165,{},303,36
166,{},219,202
167,{},219,203
168,{},356,157
169,{},11,51
170,{},249,338
171,{},294,67
172,{},150,282
173,{},308,249
174,{},105,47
175,{},91,207
176,{},291,233
177,{},11,52
178,{},160,212
179,{},254,129
180,{},224,77
181,{},217,333
182,{},92,284
183,{},50,128
184,{},140,339
185,{},133,155
186,{},111,171
187,{},139,136
188,{},275,21
189,{},114,252
190,{},8,81
191,{},55,194
192,{},233,84
193,{},258,280
194,{},219,337
195,{},146,74
196,{},108,49
197,{},249,183
198,{},184,118
199,{},192,149
200,{},29,12
201,{},7,220
202,{},24,109
203,{},194,240
204,{},109,121
205,{},110,92
206,{},52,176
207,{},252,302
208,{},58,174
209,{},119,127
210,{},258,234
211,{},181,43
212,{},124,142
213,{},160,175
214,{},347,292
215,{},71,91
216,{},63,71
217,{},19,55
218,{},227,62
219,{},47,251
220,{},59,142
221,{},6,303
222,{},250,165
223,{},287,319
224,{},347,180
225,{},16,57
226,{},40,94
227,{},83,140
228,{},89,164
229,{},230,35
230,{},278,262
231,{},134,151
232,{},170,248
233,{},264,165
234,{},355,225
235,{},225,44
236,{},168,75
237,{},252,181
238,{},177,114
239,{},5,200
240,{},325,197
241,{},294,66
242,{},218,199
243,{},121,25
244,{},243,22
245,{},91,208
246,{},216,30
247,{},354,106
248,{},22,269
249,{},226,15
250,{},27,246
251,{},180,204
252,{},334,20
253,{},247,86
254,{},80,14
255,{},96,131
256,{},2,115
257,{},26,46
258,{},125,257
259,{},49,323
260,{},242,287
261,{},313,239
262,{},245,340
263,{},51,332
264,{},315,334
265,{},25,294
266,{},160,174
267,{},217,290
268,{},329,142
269,{},14,198
270,{},242,255
271,{},150,259
272,{},341,9
273,{},300,168
274,{},214,144
275,{},234,123
276,{},322,320
277,{},15,113
278,{},49,272
279,{},219,335
280,{},324,260
281,{},16,56
282,{},61,34
283,{},258,313
284,{},176,11
285,{},54,170
286,{},290,32
287,{},169,166
288,{},87,45
289,{},316,179
290,{},6,326
291,{},272,54
292,{},66,247
293,{},148,279
294,{},118,159
295,{},161,293
296,{},91,296
297,{},58,175
298,{},94,235
299,{},251,89
300,{},156,33
301,{},170,266
302,{},213,308
303,{},173,315
304,{},109,122
305,{},217,311
306,{},136,169
307,{},322,307
308,{},143,110
309,{},43,100
310,{},77,6
311,{},285,238
312,{},132,72
313,{},217,178
314,{},188,215
315,{},348,60
316,{},227,63
317,{},316,229
318,{},360,101
319,{},108,48
320,{},223,98
321,{},64,97
322,{},271,172
323,{},72,88
324,{},270,173
325,{},212,253
326,{},162,87
327,{},285,276
328,{},181,42
329,{},303,37
330,{},83,141
331,{},347,230
332,{},46,277
333,{},140,274
334,{},147,260
335,{},157,275
336,{},180,227
337,{},51,264
338,{},213,185
339,{},175,285
340,{},224,78
341,{},346,137
342,{},217,309
343,{},217,310
344,{},291,289
345,{},217,306
346,{},97,221
347,{},48,41
348,{},39,111
349,{},322,263
350,{},239,241
351,{},299,223
352,{},140,193
353,{},88,243
354,{},98,152
355,{},271,336
356,{},358,124
